,한글 변수명,영문 변수명,N,평균,표준편차,최솟값,최댓값
0,1종교통량(합계),sm_tp1_t,515,5843223.790291262,1029638.8317256534,3416780.0,9761315.0
1,2종교통량(합계),sm_tp2_t,515,188026.5844660194,75376.51078604234,15866.0,370746.0
2,3종교통량(합계),sm_tp3_t,515,234947.7436893204,80998.54074234566,58791.0,807532.0
3,4종교통량(합계),sm_tp4_t,515,189638.79611650485,82321.86321179014,7212.0,398437.0
4,5종교통량(합계),sm_tp5_t,515,277096.3223300971,129009.52896285939,8888.0,674798.0
5,6종교통량(합계),sm_tp6_t,515,297234.9339805825,64983.130809203554,159145.0,1145750.0
6,교통량(합계),sm_tot_t,515,7030168.170873786,1225615.505915716,3826797.0,11093138.0
7,누적확진자,confirmed,515,40655.077669902916,41070.37484911568,0.0,140339.0
8,누적사망자,death,515,675.2970873786408,643.0831190046109,0.0,1959.0
9,누적격리해제,released,515,35346.922330097084,37688.58249636613,0.0,130823.0
10,누적검사자,tested,515,3106289.339805825,2930538.2811603993,0.0,9761157.0
11,누적음성,negative,515,3015999.0310679614,2856672.5315595837,0.0,9492865.0
12,누적위중증,critical,515,84.5631067961165,98.98261352486259,0.0,411.0
13,현재격리자수,i_quarant,515,4632.858252427184,4335.567590076017,0.0,18054.0
14,현재검사자수,i_under_test,515,49635.23106796116,47019.874967384254,0.0,193751.0
15,신규확진자수,i_nw_confirm,515,272.5029126213592,278.9715644046252,0.0,1240.0
16,신규격리자수,i_nw_quarant,515,14.67378640776699,216.32460115847786,-1707.0,808.0
17,신규격리해제자수,i_nw_release,515,254.0252427184466,287.4801250847855,0.0,2143.0
18,신규검사자수,i_nw_test,515,18953.70291262136,16026.5598328817,0.0,65506.0
19,신규사망자수,i_nw_death,515,3.803883495145631,5.340395982237703,0.0,40.0
20,확진자증감률,i_confirm_id_rto,515,0.027990444023300972,0.12114278302532223,0.0,1.260869565
21,현재격리자증감률,i_quarant_id_rto,515,0.02413278409708738,0.1469275738781581,-0.13386319,1.9
22,누적검사증감률,i_test_id_rto,515,0.08615405707766992,1.3039819907083106,0.0,29.5
23,검사자확진율,i_test_cnfm_rto,515,0.02620720868932039,0.10620648320601919,0.0,1.0
24,확진율,i_confirm_rto,515,0.02538122860776699,0.10617361769040745,0.0,1.0
25,치명률,i_fatality_rto,515,0.0002123972537864078,9.597988664353708e-05,0.0,0.00042503800000000003
26,격리해제율,i_release_rto,515,0.7305803180873787,0.30188581610214316,0.0,0.9369308140000001
