date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,i_critical,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto,i_critical_rto
20200120,5559087,224097,290380,222961,327822,314855,6939202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200121,5563121,238407,306525,253535,355717,314626,7031931,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0
20200122,5667381,228137,297535,232499,339798,318585,7083935,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20200123,6160566,174030,252981,153772,226408,323453,7291210,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20200128,5083800,180527,249027,165088,225174,290837,6194453,0,4,0,0,0,0,0,0,0,0,0,0.06557377,0.06557377,0,0,0
20200129,5143426,217576,287828,220226,305611,299516,6474183,0,4,0,0,0,0,126,0,0,0,2.06557377,0.021390374,0.021390374,0,0,0
20200130,5192498,218556,290150,223711,317793,298660,6541368,0,7,0,3,3,0,60,0,0.75,0.75,0.320855615,0.028340081,0.028340081,0,0,0
20200131,5544506,217625,292393,217464,310252,314630,6896870,0,11,58,4,4,0,62,0,0.571428571,0.571428571,0.251012146,0.043824701,0.035598706,0,0,0
20200201,5135494,114962,187389,103400,161167,248607,5951019,0,12,82,1,1,0,74,0,0.090909091,0.090909091,0.239482201,0.03986711,0.031331593,0,0,0
20200202,4278047,51056,137707,43448,42489,201165,4753912,0,15,87,3,3,0,46,0,0.25,0.25,0.120104439,0.043859649,0.034965035,0,0,0
20200203,5125555,215633,281127,207651,299129,297892,6426987,0,15,61,0,0,0,61,0,0,0,0.142191142,0.034965035,0.030612245,0,0,0
20200204,5003574,225437,292183,231059,321644,290544,6364441,0,16,129,1,1,0,117,0,0.066666667,0.066666667,0.23877551,0.033472803,0.026359143,0,0,0
20200205,4881935,216803,284040,212876,305785,284120,6185559,0,20,174,5,4,1,110,0,0.3125,0.25,0.18121911,0.038674033,0.029288703,0,0.047619048,0
20200206,4980014,213815,282405,210006,302641,290015,6278896,0,22,169,3,2,1,169,0,0.142857143,0.1,0.235704324,0.033472803,0.027088036,0,0.083333333,0
20200207,5550663,215498,285155,210210,304576,315871,6881973,0,22,327,0,0,0,466,0,0,0,0.525959368,0.023414634,0.017751479,0,0.083333333,0
20200208,5222159,109458,178774,103499,172211,256432,6042533,0,22,939,0,0,0,745,0,0,0,0.551035503,0.020725389,0.011444921,0,0.083333333,0
20200209,4433194,48630,125776,41185,42769,206475,4898029,0,24,888,3,2,1,501,0,0.125,0.090909091,0.238912732,0.015789474,0.01039261,0,0.111111111,0
20200210,5263003,210071,270122,198629,299279,304200,6545304,0,23,531,0,-1,1,512,0,0,0.041666667,0.197074673,0.010469174,0.008681672,0,0.148148148,0
20200211,5209794,224247,285022,224915,321784,301353,6567115,0,24,762,1,1,0,1215,0,0.037037037,0.043478261,0.390675241,0.007858546,0.006473988,0,0.142857143,0
20200212,4791640,193519,258709,188097,258844,281904,5972713,0,21,785,0,-3,3,1299,0,0,0.125,0.300346821,0.005786319,0.004978663,0,0.25,0
20200213,5273229,219109,277570,211779,291555,301165,6574407,0,21,562,0,0,0,887,0,0,0,0.157716927,0.004706673,0.004300415,0,0.25,0
20200214,5877788,219890,284236,211434,311356,329096,7233800,0,21,535,0,0,0,731,0,0,0,0.11227154,0.004174743,0.003866335,0,0.25,0
20200215,5767272,114702,180796,103146,168677,271210,6605803,0,19,638,0,-2,2,277,0,0,0.095238095,0.038249102,0.004069176,0.003723899,0,0.321428571,0
20200216,4354194,48512,125637,47610,41243,197532,4814728,0,2.00E+01,485,1,1,0,642,0,0.035714286,0.052631579,0.085383695,0.003778009,0.003553486,0,0.310344828,0
20200217,4792041,197707,258384,188472,269750,273127,5979481,0,2.00E+01,708,1,0,1,557,0,0.034482759,0,0.06825144,0.003745318,0.003441156,0,0.333333333,0
