date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,i_critical,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto,i_critical_rto
20200218,5010841,218741,278560,215819,304233,290941,6319135,0,27,818,9,7,2,1062,0,0.3,0.35,0.12181693,0.004351707,0.00398773,0,0.307692308,0
20200219,5216463,219989,280261,216978,316849,300717,6551257,0,30,1149,7,3,4,1388,0,0.179487179,0.111111111,0.14192229,0.004591277,0.004118911,0,0.347826087,0
20200220,5272477,221788,281028,218003,320981,300071,6614348,0,87,1860,58,57,0,2034,1.00E+00,1.260869565,1.9,0.182127507,0.009169459,0.007877594,7.57E-05,0.153846154,0
20200221,5539009,219375,280602,212161,314805,312202,6878154,0,186,3180,100,99,1,3198,0.00E+00,0.961538462,1.137931034,0.242236025,0.015431165,0.012439024,6.10E-05,0.083333333,0
20200222,4725033,110977,172983,105100,170565,227688,5512346,0,412,6037,229,226,1,5186,2,1.12254902,1.215053763,0.316219512,0.02784745,0.020059298,0.000138979,0.041570439,0
20200223,3832721,52716,114596,44721,51561,177796,4274111,0,584,6039,175,172,0,1099,3,0.404157044,0.417475728,0.050912629,0.036525291,0.026801851,0.000264492,0.029605263,0
20200224,4857148,214259,271403,208810,310803,282442,6144865,0,814,11631,235,230,4,10081,1,0.386513158,0.393835616,0.444390566,0.039886444,0.025727889,0.000213636,0.026097272,0
20200225,4127021,194302,256453,201075,259083,249451,5287385,0,945,13273,134,131,0,4034,3,0.158956109,0.160933661,0.123115425,0.041526756,0.026548913,0.000271739,0.022517912,0
20200226,4602604,224838,273776,229581,303901,269746,5904446,0,1225,20716,284,280,2,16753,2,0.290685773,0.296296296,0.455244565,0.038401803,0.023546767,0.000224077,0.019032514,0
20200227,4626154,226024,276948,231620,328638,268461,5957845,0,1727,25568,505,502,2,13099,1,0.400475813,0.409795918,0.244598809,0.042985104,0.026495829,0.000195043,0.014722537,0
20200228,4711916,207441,264507,210397,296188,273100,5963549,0,2297,30237,571,570,1,14515,0,0.323329558,0.330052113,0.21777291,0.045886511,0.02879249,0.000160164,0.011553273,0
20200229,4152963,114097,160557,111248,169046,202050,4909961,0,3105,35182,813,808,1,12888,4,0.3478819,0.351763169,0.158783742,0.053505002,0.033491042,0.000180745,0.008888889,0
20200301,3416780,51883,104248,46015,48726,159145,3826797,0,3688,33360,586,583,2,4866,1,0.186031746,0.187761675,0.051735687,0.056985098,0.037767511,0.000181963,0.008029979,0
