date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,i_critical,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto,i_critical_rto
20200812,5862715,228562,270682,223612,295448,306172,7187191,15,623,17375,54,-3,57,8808,0,0.003683492,0.004792332,0.005377802,0.009031,0.008935707,0.000185224,0.936930814,0
20200813,6118958,229443,274949,226123,312473,315972,7477918,15,648,17798,56,25,31,8246,0,0.003805899,0.040128411,0.005007737,0.009022051,0.008925021,0.000184301,0.935477319,0
20200814,6879878,222660,273705,207916,300319,339972,8224450,14,705,20132,103,57,46,10186,0,0.006973595,0.087962963,0.006155062,0.009041601,0.008932282,0.000183174,0.93209171,0.066666667
20200815,6795870,103379,152033,84967,125718,271843,7533810,14,833,21618,166,128,38,10212,0,0.011161165,0.181560284,0.006133024,0.009094273,0.008976921,0.000182057,0.924330075,0
20200816,6630636,53578,109340,46143,42375,253734,7135806,13,1103,22005,279,270,9,6491,0,0.018551765,0.324129652,0.003874539,0.009228923,0.009108169,0.000181355,0.908081995,0.071428571
20200817,6359199,167432,195022,151404,220547,282124,7375728,13,1293,22964,197,190,7,6683,0,0.012860687,0.17225748,0.003973749,0.009315487,0.009188792,0.000180637,0.8970029,0
20200818,6033744,238015,277953,232385,334205,315503,7431805,9,1521,25219,246,228,17,8572,1,0.015855624,0.176334107,0.005076785,0.009427433,0.009287336,0.000180314,0.884080959,0.307692308
20200819,5853347,241534,282078,247811,352835,307642,7285247,12,1746,31022,297,225,72,18022,0,0.018843982,0.147928994,0.010619655,0.009535392,0.009362916,0.000178419,0.872213227,0.333333333
20200820,5831781,240940,281533,242836,350664,306523,7254277,12,1976,34998,288,230,57,19019,1,0.017934986,0.131729668,0.011089382,0.009620472,0.009426308,0.000177039,0.860332803,0
20200821,6251602,234851,281193,235669,347967,320940,7672222,18,2241,38045,324,265,57,20040,2,0.019821363,0.134109312,0.01155654,0.009714011,0.009503324,0.000176156,0.847030594,0.5
20200822,5662566,121798,162838,118830,201101,254182,6521315,25,2524,42427,332,283,49,21677,0,0.019916017,0.126282909,0.012357742,0.009808622,0.009574276,0.000174006,0.833372544,0.388888889
20200823,5081191,54096,100570,47491,49480,214587,5547415,30,2890,47564,397,366,31,15386,0,0.023350194,0.145007924,0.008664264,0.009978654,0.009713676,0.000172511,0.816138859,0.2
20200824,5739551,225466,268323,219910,334673,308121,7096044,32,3137,47995,266,247,19,13236,0,0.015288235,0.085467128,0.007389517,0.010057349,0.009789839,0.000171246,0.804924993,0.066666667
20200825,5665772,245386,285158,254394,370260,303739,7124709,38,3349,50362,280,212,67,21415,1,0.015850552,0.067580491,0.011868066,0.010107154,0.009828369,0.000169785,0.796099192,0.1875
20200826,5064212,222310,260364,220213,297662,277452,6342213,42,3585,52795,320,236,82,23669,2,0.017832265,0.070468797,0.01296337,0.010165797,0.00987561,0.000168694,0.786641117,0.105263158
20200827,4760620,194696,241408,194659,246200,259897,5897480,46,3932,52041,441,347,93,20073,1,0.024144539,0.09679219,0.010853168,0.010291944,0.010005461,0.000167417,0.773067465,0.095238095
20200828,5927185,223843,271374,226118,319530,313822,7281872,58,4210,50711,371,278,90,18138,3,0.019833209,0.070701933,0.009701649,0.010384833,0.010105858,0.000167398,0.762750957,0.260869565
20200829,5367381,125075,164435,125120,200327,243059,6225397,64,4314,54046,323,104,214,21612,5,0.016931383,0.024703088,0.01144875,0.010456626,0.010160638,0.000168122,0.761082474,0.103448276
20200830,4791057,57412,102227,52331,51709,203614,5258350,70,4473,58021,299,159,138,14841,2,0.015412371,0.036856745,0.007772888,0.010555963,0.010237661,0.000167865,0.756535865,0.09375
20200831,5531702,227463,266102,227464,336592,300879,6890202,79,4650,57876,248,177,70,13519,1,0.012589472,0.039570758,0.007025886,0.010611162,0.010294222,0.000167209,0.750639194,0.128571429
20200901,5390920,245602,281395,257132,356030,293472,6824551,104,4660,56743,235,10,225,21391,0,0.01178122,0.002150538,0.011039439,0.010609056,0.010301774,0.000165384,0.75304727,0.316455696
20200902,4739747,207338,252017,210523,261958,264583,5936166,123,4767,56748,267,107,158,21215,2,0.013229611,0.022961373,0.010829063,0.010630881,0.010326239,0.000164622,0.750941366,0.182692308
20200903,4830225,204788,243948,198583,222864,268799,5969207,154,4786,55524,195,19,173,20257,3,0.009535919,0.003985735,0.010229284,0.010613729,0.010319152,0.000164455,0.75222825,0.25203252
20200904,6148329,244737,280784,240442,344732,320995,7580019,157,4728,52266,198,-58,254,18354,2,0.009591165,0.012118679,0.009174468,0.010597771,0.010323413,0.00016395,0.757268976,0.019480519
20200905,5781140,132296,167992,129322,208351,256931,6676032,159,4668,52077,168,-60,226,18139,2,0.008060647,0.012690355,0.008984569,0.010584554,0.01031396,0.000163472,0.76197049,0.012738854
20200906,4593196,55199,98173,49371,44022,195094,5035055,163,4697,49621,167,29,137,8890,1,0.007948596,0.006212511,0.004364165,0.010608051,0.010350769,0.000163251,0.762430939,0.025157233
20200907,4258271,173540,214683,163614,179453,236104,5225665,162,4663,47109,119,-34,151,5362,2,0.005619304,0.007238663,0.002620807,0.01062575,0.010381724,0.000163799,0.765261082,0.006134969
20200908,5436864,236477,272056,233935,307599,294545,6781476,150,4455,43370,136,-208,339,14781,5,0.006386176,0.044606477,0.007205685,0.010595696,0.010373277,0.000165047,0.776222471,0.074074074
20200909,5412317,230036,271447,240448,342605,292678,6789531,154,4221,36533,156,-234,387,16156,3,0.007278835,0.052525253,0.007819647,0.010552862,0.010367711,0.000165207,0.78853993,0.026666667
20200910,5646828,243865,280105,246318,351948,300359,7069423,169,4037,33018,155,-184,337,17357,2,0.007179915,0.043591566,0.008335759,0.010521283,0.010355826,0.000164794,0.798417882,0.097402597
20200911,6184424,240556,279349,241950,350558,319579,7616416,175,3953,29423,176,-84,256,19620,4,0.008094559,0.02080753,0.009344677,0.010488624,0.010343,0.000165156,0.8036863,0.035502959
20200912,6074193,124664,160379,126359,198839,264949,6949383,164,3671,27826,136,-282,413,16246,5,0.006204663,0.071338224,0.007666061,0.010464355,0.010328,0.000166241,0.817456359,0.062857143
20200913,5909247,57751,97938,50449,49627,240346,6405358,157,3592,27705,121,-79,197,7813,3,0.005486284,0.021520022,0.003658702,0.010482306,0.010346807,0.000167034,0.821879509,0.042682927
20200914,5754833,232268,270257,228605,335637,307766,7129366,157,3433,27476,109,-159,263,7732,5,0.004915224,0.044265033,0.003607572,0.010494338,0.010360288,0.000168759,0.829661207,0
20200915,5667132,250849,286491,261289,372322,303122,7141205,158,3146,27310,106,-287,389,13576,4,0.004756563,0.08360035,0.006311477,0.010476459,0.01034428,0.000169548,0.843106605,0.006369427
20200916,5546362,235115,275874,250637,353455,299137,6960580,160,2827,25842,113,-319,432,14254,0,0.005046671,0.101398601,0.006585117,0.010452441,0.01032847,0.000168439,0.858069677,0.012658228
20200917,5651520,239386,275741,247459,356312,300441,7070859,160,2742,25508,153,-85,233,13060,5,0.006798791,0.030067209,0.005994037,0.010458441,0.010336732,0.000169716,0.862559033,0
