date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,i_critical,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto,i_critical_rto
20201113,6561501,238419,290518,243122,356531,331283,8021374,50,2106,30119,191,57,133,11639,1,0.006836077,0.027818448,0.004232718,0.010299529,0.010187191,0.000176721,0.907788561,0.056603774
20201114,6981484,127059,175838,126385,210173,295396,7916335,54,2208,34692,205,102,99,15878,4,0.007287334,0.048433048,0.005749963,0.010331821,0.010202763,0.000177151,0.90471485,0.08
20201115,6458665,60549,117762,56356,60960,262472,7016764,56,2360,36378,208,152,55,9589,1,0.007340486,0.06884058,0.00345265,0.010377757,0.010242293,0.000176901,0.900049047,0.037037037
20201116,5889116,229654,276021,230251,352336,311678,7289056,55,2513,38314,222,153,68,10812,1,0.007777466,0.064830508,0.003879613,0.010424828,0.010282061,0.000176574,0.895466871,0.017857143
20201117,5696785,246035,288943,260061,371752,306002,7169578,60,2642,41202,230,129,101,18065,0,0.00799555,0.051333068,0.006457117,0.0104507,0.010297778,0.000175442,0.891847151,0.090909091
20201118,5581020,229412,278214,237452,350889,300746,6977733,67,2812,42688,285,170,113,18579,2,0.009828942,0.064345193,0.006598235,0.010488802,0.010330829,0.000174997,0.887025716,0.116666667
20201119,5182195,201579,255175,207256,302426,280733,6429364,79,3010,45525,325,198,125,19463,2,0.011099348,0.070412518,0.006866874,0.010542434,0.010374256,0.000174504,0.881510505,0.179104478
20201120,6406527,237049,284180,234194,340553,328070,7830573,84,3190,48143,348,180,165,19585,3,0.011754374,0.059800664,0.006862791,0.010602296,0.010424657,0.000174359,0.876777726,0.063291139
20201121,6594011,125789,169669,119360,195350,286558,7490737,86,3472,51345,386,282,102,23303,2,0.012886426,0.088401254,0.008109961,0.010663057,0.010474049,0.000173647,0.868984838,0.023809524
20201122,5642238,54222,103593,50809,51801,236430,6139093,87,3699,54029,330,227,101,12144,2,0.01087673,0.065380184,0.004192381,0.010743317,0.010543769,0.000173609,0.862927943,0.011627907
20201123,5739815,228127,270910,229028,345359,306789,7120028,79,3893,56455,271,194,73,13245,4,0.008835996,0.052446607,0.004553382,0.010797326,0.010588719,0.000174191,0.857729227,0.091954023
20201124,5553384,244192,284951,257860,373377,301001,7014765,79,4058,57769,349,165,183,24264,1,0.011279532,0.042383766,0.008303697,0.010832361,0.01061997,0.000173096,0.854010866,0
20201125,5589571,239126,279937,252086,374705,301392,7036817,81,4334,55838,382,276,103,20006,3,0.012208373,0.0680138,0.006790128,0.010881964,0.010677124,0.00017294,0.846962617,0.025316456
20201126,5615460,238940,279713,249919,374538,300809,7059379,78,4788,55361,581,454,125,21639,2,0.018344279,0.104753115,0.007294843,0.010998015,0.010794245,0.000172357,0.835581186,0.037037037
20201127,6178252,237122,279550,247620,368534,319167,7630245,77,5189,56637,555,401,153,21518,1,0.017207702,0.083751044,0.007201518,0.011110577,0.010901482,0.000171457,0.826109485,0.012820513
20201128,5948076,125466,163076,129973,220086,264057,6850734,78,5440,58794,503,251,246,22441,6,0.015331626,0.048371555,0.007456723,0.011203957,0.010986695,0.000172167,0.821020083,0.012987013
20201129,5304584,58920,102973,56422,64297,224934,5812130,76,5696,62829,450,256,193,14968,1,0.013509051,0.047058824,0.004936773,0.011313709,0.011080413,0.000171649,0.815793371,0.025641026
20201130,5495128,223891,268098,226288,344058,299400,6856863,76,6048,63365,438,352,83,14262,3,0.012973549,0.061797753,0.004680811,0.011408014,0.011171872,0.00017183,0.807772157,0
20201201,5241030,238558,276926,252887,357908,286214,6653523,97,6239,64892,451,191,260,22825,0,0.01318752,0.031580688,0.007456299,0.011476919,0.011235427,0.000170558,0.804761905,0.276315789
20201202,5320097,235216,274147,248955,359962,289535,6727912,101,6570,65154,511,331,180,22973,0,0.014747475,0.053053374,0.007449104,0.011559221,0.011316821,0.000169297,0.79818549,0.041237113
20201203,5402771,234691,275836,242209,354895,290453,6800855,117,6813,65788,533,243,287,24909,3,0.015158841,0.036986301,0.008017141,0.011641541,0.011396999,0.000168908,0.794307166,0.158415842
20201204,6006954,235740,280761,241969,353834,313785,7433043,116,7176,64017,629,363,259,25524,7,0.017622009,0.053280493,0.008149745,0.011742157,0.011504082,0.00016976,0.787682735,0.008547009
20201205,5853500,124646,162596,121251,203069,259933,6724995,121,7449,66267,583,273,306,23086,4,0.016050436,0.038043478,0.00731171,0.011850801,0.011603883,0.000169785,0.783531133,0.043103448
20201206,5188634,57157,102658,53098,57199,220619,5679365,125,7864,67716,631,415,211,14371,5,0.017097491,0.055712176,0.00451849,0.012003612,0.011749192,0.000170587,0.775981032,0.033057851
20201207,5468088,223472,264651,225572,343147,297104,6822034,126,8302,68010,615,438,173,14509,4,0.016383835,0.055696846,0.00454136,0.01214507,0.011887702,0.000171062,0.76800692,0.008
20201208,5275467,235956,278591,251687,367646,285614,6694961,134,8537,71274,587,235,349,11948,3,0.015385825,0.028306432,0.003722853,0.012297935,0.012025834,0.000171359,0.765378559,0.063492063
20201209,5320132,232854,271687,245982,363868,288648,6723171,149,8676,75080,670,139,527,31904,4,0.017295232,0.016282066,0.00990403,0.012400024,0.012113848,0.000170908,0.765738791,0.111940299
20201210,5387017,234693,274688,245351,362789,290303,6794841,172,8888,72764,680,212,460,24727,8,0.017254942,0.024435224,0.007600779,0.012507558,0.012229915,0.000172059,0.7642246,0.154362416
20201211,5990160,234119,275310,238516,354374,313662,7406141,169,9049,77688,689,161,520,33265,8,0.017186759,0.018114311,0.010148123,0.012611013,0.012315132,0.000172746,0.764063956,0.01744186
20201212,5754883,123742,159987,129809,220234,257370,6646025,179,9657,86742,950,608,336,38651,6,0.023296876,0.067189745,0.011672769,0.012787761,0.012456633,0.000172544,0.754721051,0.059171598
20201213,4429723,53889,95645,55234,55591,187532,4877614,179,10364,90129,1030,707,321,24731,2,0.024683666,0.073211142,0.007382692,0.013018258,0.012670565,0.000171873,0.744047897,0
20201214,5147860,216856,260947,213380,332163,280988,6452194,185,10787,89247,718,423,288,22444,7,0.016792179,0.040814357,0.006650876,0.013143519,0.012798212,0.000172798,0.738384396,0.033519553
20201215,5010621,231058,270602,236696,350079,278589,6377645,205,11197,93473,880,410,457,44181,13,0.020241053,0.038008714,0.013005746,0.013249516,0.012889622,0.000174357,0.734038236,0.108108108
20201216,5059843,226470,267896,232249,346199,280342,6412999,226,11875,94784,1078,678,388,47549,12,0.024303364,0.060551934,0.013817491,0.013386632,0.013022939,0.00017542,0.725161773,0.102439024
20201217,5196021,229776,271712,240095,353479,284428,6575511,242,12204,99258,1014,329,663,50071,22,0.022318088,0.027705263,0.014352062,0.013503974,0.013125212,0.000179155,0.723604891,0.07079646
20201218,5685074,230380,271859,237571,351780,296663,7073327,246,12885,110618,1064,681,372,50957,11,0.022907337,0.055801377,0.014399359,0.013656103,0.013235296,0.000179676,0.715229837,0.016528926
20201219,5208566,122284,157117,122477,201027,237529,6049000,275,13564,126233,1045,679,352,56450,14,0.021994444,0.052696934,0.015725132,0.013794555,0.013316988,0.000180734,0.707086517,0.117886179
20201220,4391717,55712,99213,54642,57376,191433,4850093,278,14258,139475,1097,694,388,36847,15,0.022592005,0.051164848,0.010105465,0.014012237,0.013481607,0.000182998,0.699279011,0.010909091
20201221,5354118,222985,263168,224766,345555,292664,6703256,274,14725,146438,924,467,433,30765,24,0.018608773,0.032753542,0.008353036,0.014177757,0.013618726,0.000187945,0.695065048,0.014388489
20201222,5240879,240351,278200,259315,372269,284847,6675861,281,14794,151129,866,69,773,58569,24,0.017122069,0.004685908,0.015770397,0.01420596,0.013636848,0.000191389,0.698390483,0.025547445
20201223,5350465,240059,276873,257489,374231,289021,6788138,284,15069,153109,1090,275,798,54140,17,0.021188088,0.018588617,0.014351507,0.01430097,0.013728758,0.000193124,0.699090113,0.010676157
20201224,5807736,233359,275934,243282,361393,308390,7230094,291,15338,150533,985,269,699,55640,17,0.018749762,0.017851218,0.014540452,0.014341825,0.013785719,0.000194735,0.699284366,0.024647887
20201225,4528026,116853,147996,114858,185446,199322,5292501,311,15938,156789,1240,600,623,57146,17,0.023169342,0.039118529,0.014719981,0.014476692,0.01390051,0.000196225,0.694826421,0.068728522
20201226,4790910,103861,133213,94967,176741,213372,5513064,299,16565,157012,1131,627,484,30057,20,0.020654139,0.039339942,0.007629935,0.014660068,0.014080182,0.000199778,0.689425658,0.038585209
20201227,4196367,50497,89742,51206,54417,183224,4625453,293,17012,166976,970,447,508,36997,15,0.01735552,0.026984606,0.009320531,0.01480949,0.014192271,0.000201677,0.686598663,0.02006689
20201228,5303435,217877,259324,224009,338014,286004,6628663,295,17579,169878,806,567,228,31894,11,0.014175167,0.033329415,0.007960751,0.014906853,0.014279771,0.000202808,0.680955849,0.006825939
20201229,5186948,232722,268604,256669,365254,280542,6590739,330,17148,170962,1044,-431,1435,59872,40,0.018104256,0.024517891,0.014826041,0.014949544,0.014325899,0.000209606,0.693289048,0.118644068
20201230,4952545,216766,254121,228186,323998,268829,6244445,332,17446,171771,1050,298,732,61343,20,0.017884517,0.01737812,0.014968381,0.014985917,0.01436706,0.000211323,0.69335676,0.006060606
20201231,5513627,180714,220824,174898,249639,288471,6628173,344,17556,170338,967,110,836,54358,21,0.016181392,0.00630517,0.013068351,0.015018295,0.014411208,0.00021358,0.696082467,0.036144578
20210101,4184529,72636,103120,62611,52430,171247,4646573,354,17884,176927,1027,328,682,55436,17,0.016911753,0.018683071,0.013155593,0.015089989,0.014464636,0.000214789,0.695550086,0.029069767
20210102,4564549,86371,114767,65675,82325,194984,5108671,361,18054,179387,820,170,625,33482,25,0.013278492,0.009505703,0.007842487,0.015175326,0.014542654,0.000218928,0.696423435,0.019774011
20210103,4134736,47856,90733,51243,45398,180879,4550845,355,17762,186472,657,-292,929,38040,20,0.010499569,0.016173701,0.008840773,0.015220399,0.014566566,0.000221617,0.703879426,0.016620499
20210104,4941054,208683,247803,212135,310044,277443,6197162,351,18030,190732,1020,268,733,35770,19,0.016131328,0.015088391,0.008240358,0.015349501,0.014680571,0.000224147,0.704113555,0.011267606
20210105,4873901,229160,266918,249459,350472,273223,6243133,386,17786,193751,714,-244,932,62752,26,0.011112668,0.013533001,0.014338067,0.015301717,0.014633889,0.000226835,0.710721158,0.0997151
20210106,4761313,220229,259656,238207,341304,265652,6086361,411,17781,192082,838,-5,823,65506,20,0.012899253,0.00028112,0.014755754,0.015257687,0.014607116,0.000227976,0.714177165,0.064766839
20210107,3781324,200741,243241,214781,274470,197524,4912081,400,17977,191762,869,196,654,64943,19,0.013206085,0.011023002,0.014416211,0.015228732,0.014589691,0.000228894,0.714677826,0.02676399
20210108,4670470,204080,245756,199661,280626,249435,5850028,404,17896,190452,674,-81,720,60196,35,0.010109191,0.004505757,0.013172562,0.015169569,0.014545579,0.000233477,0.718216375,0.01
20210109,4276543,110305,141073,103834,161576,200576,4993907,409,17563,185923,641,-333,955,59612,19,0.009518011,0.01860751,0.012875168,0.015095854,0.014497368,0.000234561,0.725491638,0.012376238
20210110,3701044,46697,84852,46656,48675,163812,4091736,401,17110,191454,657,-453,1085,33847,25,0.009663612,0.02579286,0.007217445,0.015146504,0.014532576,0.000238173,0.734354059,0.019559902
20210111,4955795,210075,251863,213616,310360,275965,6217674,395,15403,189763,451,-1707,2143,28222,15,0.00657013,0.099766219,0.005974861,0.015146048,0.014541176,0.000239915,0.760576019,0.014962594
