집계일자,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,decideCnt,clearCnt,examCnt,deathCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate
20200101,5179287,69285,139674,56505,47966,219017,5711734,0,1,1,0,0,0,0,0,0
20200102,5270468,205143,264086,186271,264039,297441,6487448,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200103,5661518,227649,296568,224709,313996,312206,7036646,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200104,5595676,117323,194373,109813,171529,258204,6446918,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200105,4871393,52691,139683,46335,46099,218329,5374530,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200106,5125070,208784,280897,208502,291856,294209,6409318,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200107,4686913,200049,276164,203875,252242,273298,5892541,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200108,4959869,212690,282222,210869,265056,287118,6217824,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200109,5212239,228358,294706,226007,302824,295216,6559350,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200110,5751608,229130,305889,223797,308949,318753,7138126,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200111,5824252,117824,203344,114044,173062,270315,6702841,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200112,5035222,51434,143561,46481,46133,225762,5548593,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200113,5373732,218414,290065,211361,304041,305507,6703120,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200114,5267521,232099,305217,238882,329448,300461,6673628,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200115,5309926,228959,303117,235012,330610,301469,6709093,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200116,5376438,229229,305123,237781,329488,303707,6781766,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200117,5857989,231521,310250,235061,330785,326500,7292106,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200118,5721431,123855,206170,122118,181585,268932,6624091,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200119,4850230,54547,145762,55286,56931,220374,5383130,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200120,5559087,224097,290380,222961,327822,314855,6939202,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200121,5563121,238407,306525,253535,355717,314626,7031931,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200122,5667381,228137,297535,232499,339798,318585,7083935,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200123,6160566,174030,252981,153772,226408,323453,7291210,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200124,6635540,52927,122111,29909,42208,243683,7126378,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200125,8853268,15866,88194,7212,8888,281213,9254641,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200126,6942180,25038,103032,16259,19637,246217,7352363,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200127,4631754,65635,135384,49216,50489,203862,5136340,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200128,5083800,180527,249027,165088,225174,290837,6194453,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200129,5143426,217576,287828,220226,305611,299516,6474183,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200130,5192498,218556,290150,223711,317793,298660,6541368,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200131,5544506,217625,292393,217464,310252,314630,6896870,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200201,5135494,114962,187389,103400,161167,248607,5951019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20200202,4278047,51056,137707,43448,42489,201165,4753912,2,2,2,2,0,0,0,0,0
20200203,5125555,215633,281127,207651,299129,297892,6426987,15,0,0,0,0,0,0,0,0
20200204,5003574,225437,292183,231059,321644,290544,6364441,0,0,0,0,0,0,0,0,0
20200205,4881935,216803,284040,212876,305785,284120,6185559,37,1,169,0,0,0,0,0,0
20200206,4980014,213815,282405,210006,302641,290015,6278896,23,1,169,0,0,0,0,0,0
20200207,5550663,215498,285155,210210,304576,315871,6881973,48,4,591,0,0,0,0,0,0
20200208,5222159,109458,178774,103499,172211,256432,6042533,48,4,1559,0,0,0,0,0,0
20200209,4433194,48630,125776,41185,42769,206475,4898029,52,6,1848,0,0,0,0,0,0
20200210,5263003,210071,270122,198629,299279,304200,6545304,54,6,1340,0,0,0,0,0,0
20200211,5209794,224247,285022,224915,321784,301353,6567115,56,8,1627,0,0,0,0,0,0
20200212,4791640,193519,258709,188097,258844,281904,5972713,56,11,1777,0,0,0,0,0,0
20200213,5273229,219109,277570,211779,291555,301165,6574407,56,14,1232,0,0,0,0,0,0
20200214,5877788,219890,284236,211434,311356,329096,7233800,56,14,1227,0,0,0,0,0,0
20200215,5767272,114702,180796,103146,168677,271210,6605803,56,16,1196,0,0,0,0,0,0
20200216,4354194,48512,125637,47610,41243,197532,4814728,58,18,1062,0,0,0,0,0,0
20200217,4792041,197707,258384,188472,269750,273127,5979481,60,19,1116,0,0,0,0,0,0
20200218,5010841,218741,278560,215819,304233,290941,6319135,62,22,1775,0,0,0,0,0,0
20200219,5216463,219989,280261,216978,316849,300717,6551257,97,28,2179,0,0,0,0,0,0
20200220,5272477,221788,281028,218003,320981,300071,6614348,186,32,3493,1,0,0,0,0,0
20200221,5539009,219375,280602,212161,314805,312202,6878154,360,33,5887,2,0,0,0,0,0
20200222,4725033,110977,172983,105100,170565,227688,5512346,779,35,11518,4,0,0,0,0,0
20200223,3832721,52716,114596,44721,51561,177796,4274111,1158,36,14096,9,0,0,0,0,0
20200224,4857148,214259,271403,208810,310803,282442,6144865,1596,40,20356,14,0,0,0,0,0
20200225,4127021,194302,256453,201075,259083,249451,5287385,1870,44,27153,18,0,0,0,0,0
20200226,4602604,224838,273776,229581,303901,269746,5904446,2407,46,37450,23,0,0,0,0,0
20200227,4626154,226024,276948,231620,328638,268461,5957845,3361,50,46665,25,0,0,0,0,0
20200228,4711916,207441,264507,210397,296188,273100,5963549,4359,53,54988,26,0,0,0,0,0
20200229,4152963,114097,160557,111248,169046,202050,4909961,6081,55,64336,33,0,0,0,0,0
20200301,3416780,51883,104248,46015,48726,159145,3826797,7262,60,65782,35,0,0,0,0,0
