date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto
20200101,5179287,69285,139674,56505,47966,219017,5711734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200102,5270468,205143,264086,186271,264039,297441,6487448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200103,5661518,227649,296568,224709,313996,312206,7036646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200104,5595676,117323,194373,109813,171529,258204,6446918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200105,4871393,52691,139683,46335,46099,218329,5374530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200106,5125070,208784,280897,208502,291856,294209,6409318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200107,4686913,200049,276164,203875,252242,273298,5892541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200108,4959869,212690,282222,210869,265056,287118,6217824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200109,5212239,228358,294706,226007,302824,295216,6559350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200110,5751608,229130,305889,223797,308949,318753,7138126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200111,5824252,117824,203344,114044,173062,270315,6702841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200112,5035222,51434,143561,46481,46133,225762,5548593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200113,5373732,218414,290065,211361,304041,305507,6703120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200114,5267521,232099,305217,238882,329448,300461,6673628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200115,5309926,228959,303117,235012,330610,301469,6709093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200116,5376438,229229,305123,237781,329488,303707,6781766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200117,5857989,231521,310250,235061,330785,326500,7292106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200118,5721431,123855,206170,122118,181585,268932,6624091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200119,4850230,54547,145762,55286,56931,220374,5383130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200120,5559087,224097,290380,222961,327822,314855,6939202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200121,5563121,238407,306525,253535,355717,314626,7031931,1,0,1,1,0,1,0,0,0,0,1,1,0,0
20200122,5667381,228137,297535,232499,339798,318585,7083935,1,0,0,0,0,0,0,0,0,0,1,1,0,0
20200123,6160566,174030,252981,153772,226408,323453,7291210,1,0,0,0,0,0,0,0,0,0,1,1,0,0
20200128,5083800,180527,249027,165088,225174,290837,6194453,4,0,0,0,0,0,0,0,0,0,0.06557377,0.06557377,0,0
20200129,5143426,217576,287828,220226,305611,299516,6474183,4,0,0,0,0,126,0,0,0,2.06557377,0.021390374,0.021390374,0,0
20200130,5192498,218556,290150,223711,317793,298660,6541368,7,0,3,3,0,60,0,0.75,0.75,0.320855615,0.028340081,0.028340081,0,0
20200131,5544506,217625,292393,217464,310252,314630,6896870,11,58,4,4,0,62,0,0.571428571,0.571428571,0.251012146,0.043824701,0.035598706,0,0
20200201,5135494,114962,187389,103400,161167,248607,5951019,12,82,1,1,0,74,0,0.090909091,0.090909091,0.239482201,0.03986711,0.031331593,0,0
20200202,4278047,51056,137707,43448,42489,201165,4753912,15,87,3,3,0,46,0,0.25,0.25,0.120104439,0.043859649,0.034965035,0,0
20200203,5125555,215633,281127,207651,299129,297892,6426987,15,61,0,0,0,61,0,0,0,0.142191142,0.034965035,0.030612245,0,0
20200204,5003574,225437,292183,231059,321644,290544,6364441,16,129,1,1,0,117,0,0.066666667,0.066666667,0.23877551,0.033472803,0.026359143,0,0
20200205,4881935,216803,284040,212876,305785,284120,6185559,20,174,5,4,1,110,0,0.3125,0.25,0.18121911,0.038674033,0.029288703,0,0.047619048
20200206,4980014,213815,282405,210006,302641,290015,6278896,22,169,3,2,1,169,0,0.142857143,0.1,0.235704324,0.033472803,0.027088036,0,0.083333333
20200207,5550663,215498,285155,210210,304576,315871,6881973,22,327,0,0,0,466,0,0,0,0.525959368,0.023414634,0.017751479,0,0.083333333
20200208,5222159,109458,178774,103499,172211,256432,6042533,22,939,0,0,0,745,0,0,0,0.551035503,0.020725389,0.011444921,0,0.083333333
20200209,4433194,48630,125776,41185,42769,206475,4898029,24,888,3,2,1,501,0,0.125,0.090909091,0.238912732,0.015789474,0.01039261,0,0.111111111
20200210,5263003,210071,270122,198629,299279,304200,6545304,23,531,0,-1,1,512,0,0,-0.041666667,0.197074673,0.010469174,0.008681672,0,0.148148148
20200211,5209794,224247,285022,224915,321784,301353,6567115,24,762,1,1,0,1215,0,0.037037037,0.043478261,0.390675241,0.007858546,0.006473988,0,0.142857143
20200212,4791640,193519,258709,188097,258844,281904,5972713,21,785,0,-3,3,1299,0,0,-0.125,0.300346821,0.005786319,0.004978663,0,0.25
20200213,5273229,219109,277570,211779,291555,301165,6574407,21,562,0,0,0,887,0,0,0,0.157716927,0.004706673,0.004300415,0,0.25
